Line #,Hits,Time (µs),Per Hit Time (µs),% Time,Code
302,1,1030.3,1030.3,0.0,args = parse_args()
304,1,0.2,0.2,0.0,if args.profiler:
305,1,2.7,2.7,0.0,print('Profiling Enabled ...')
307,1,0.1,0.1,0.0,gpu_index = 1
308,1,188200.7,188200.7,0.8,torch.cuda.set_device(gpu_index)
309,1,29.8,29.8,0.0,"device = torch.device(""cuda"")"
311,1,21.1,21.1,0.0,torch.set_float32_matmul_precision('high')
313,1,20.6,20.6,0.0,print(f'Creating Model for {args.length}x{args.width} input')
318,1,120.9,120.9,0.0,size_gb = get_model_size(model)
319,1,16.4,16.4,0.0,"print(f""Model size: {size_gb:.2f} GB"")"
322,1,0.7,0.7,0.0,res_y = args.length
323,1,2.6,2.6,0.0,res_x = args.width
327,1,30.7,30.7,0.0,"frame = np.zeros((res_y+1,res_x+1,3))"
328,1,54.3,54.3,0.0,"black = np.zeros((res_y+1,res_x+1,3))"
329,1,11.4,11.4,0.0,new_l = math.ceil((res_y+1)*args.scale)
330,1,0.4,0.4,0.0,new_w = math.ceil((res_x+1)*args.scale)
333,1,1.1,1.1,0.0,x_coord = int(res_x/2)
334,1,0.2,0.2,0.0,y_coord = int(res_y)
336,1,44.5,44.5,0.0,"sock = socket.socket(socket.AF_INET, socket.SOCK_DGRAM)"
338,1,0.1,0.1,0.0,pass_counter = 0
339,2,39.9,20.0,0.0,with torch.inference_mode():
341,2,198.0,99.0,0.0,"with aestream.UDPInput((res_y, res_x), device = 'cpu', port=args.port) as stream1:"
343,2000,550.4,0.3,0.0,while True:
345,2000,28481.9,14.2,0.1,reading = stream1.read()
347,2000,97067.2,48.5,0.4,"reshaped_data = torch.tensor(np.transpose(reading), dtype=torch.float32).unsqueeze(0)"
348,2000,69541.3,34.8,0.3,device_input_data = reshaped_data.to(device)
350,2000,3461765.0,1730.9,15.6,"out_t_dev, out_x_dev, out_y_dev = model(device_input_data)"
351,2000,9373978.2,4687.0,42.2,torch.cuda.synchronize()
353,2000,84919.5,42.5,0.4,out_t = out_t_dev.cpu().squeeze().numpy()
354,2000,30736.8,15.4,0.1,out_x = out_x_dev.cpu().squeeze().numpy()
355,2000,28641.5,14.3,0.1,out_y = out_y_dev.cpu().squeeze().numpy()
358,2000,8031.5,4.0,0.0,"out_t_frame = np.transpose(out_t, (1, 0))"
360,2000,45507.0,22.8,0.2,frame = black.copy()
361,2000,184229.3,92.1,0.8,"frame[0:out_t_frame.shape[0],0:out_t_frame.shape[1],1] = out_t_frame"
364,2000,815469.9,407.7,3.7,nonzero_indices = np.nonzero(frame)
365,2000,1347.6,0.7,0.0,if len(nonzero_indices[0]) > 0:
371,2000,3210.8,1.6,0.0,"frame[0:res_y,res_x,0] = out_y"
372,2000,2035.7,1.0,0.0,"frame[res_y,0:res_x,0] = out_x"
374,2000,13148.3,6.6,0.1,idx_x = np.where(out_x>0.5)
375,2000,4952.7,2.5,0.0,idx_y = np.where(out_y>0.5)
378,2000,280.9,0.1,0.0,try:
379,2000,805.1,0.4,0.0,if len(idx_x[0])>0 and len(idx_y[0]) > 0:
386,2000,1088.2,0.5,0.0,y_norm = x_coord/res_x*100
387,2000,383.1,0.2,0.0,x_norm = y_coord/res_y*100
390,2000,6118.7,3.1,0.0,"data = ""{},{}"".format(x_norm, y_norm).encode()"
391,2000,21652.3,10.8,0.1,"sock.sendto(data, (UDP_IP, DEFAULT_CTRL_PADDLE_DESIRED_PORT))"
393,2000,684.4,0.3,0.0,if args.profiler:
394,2000,540.5,0.3,0.0,pass_counter += 1
395,2000,452.9,0.2,0.0,if pass_counter == 2000:
396,1,0.2,0.2,0.0,break
399,1,40.6,40.6,0.0,sock.close()
