Line #,Hits,Time (µs),Per Hit Time (µs),% Time,Code
302,1,1027.8,1027.8,0.0,args = parse_args()
304,1,0.3,0.3,0.0,if args.profiler:
305,1,2.2,2.2,0.0,print('Profiling Enabled ...')
307,1,0.1,0.1,0.0,gpu_index = 1
308,1,193049.0,193049.0,4.3,torch.cuda.set_device(gpu_index)
309,1,29.0,29.0,0.0,"device = torch.device(""cuda"")"
311,1,21.9,21.9,0.0,torch.set_float32_matmul_precision('high')
313,1,17.6,17.6,0.0,print(f'Creating Model for {args.length}x{args.width} input')
316,1,455488.4,455488.4,10.2,"model = ControlNet(args.width, args.length, args.mode).to(device)"
318,1,105.5,105.5,0.0,size_gb = get_model_size(model)
319,1,14.8,14.8,0.0,"print(f""Model size: {size_gb:.2f} GB"")"
322,1,1.2,1.2,0.0,res_y = args.length
323,1,0.3,0.3,0.0,res_x = args.width
327,1,17.5,17.5,0.0,"frame = np.zeros((res_y+1,res_x+1,3))"
328,1,4.9,4.9,0.0,"black = np.zeros((res_y+1,res_x+1,3))"
329,1,13.2,13.2,0.0,new_l = math.ceil((res_y+1)*args.scale)
330,1,0.6,0.6,0.0,new_w = math.ceil((res_x+1)*args.scale)
333,1,1.1,1.1,0.0,x_coord = int(res_x/2)
334,1,0.2,0.2,0.0,y_coord = int(res_y)
336,1,44.6,44.6,0.0,"sock = socket.socket(socket.AF_INET, socket.SOCK_DGRAM)"
338,1,0.1,0.1,0.0,pass_counter = 0
339,2,44.3,22.1,0.0,with torch.inference_mode():
341,2,98.8,49.4,0.0,"with aestream.UDPInput((res_y, res_x), device = 'cpu', port=args.port) as stream1:"
343,2000,535.8,0.3,0.0,while True:
345,2000,18562.3,9.3,0.4,reading = stream1.read()
347,2000,34621.9,17.3,0.8,"reshaped_data = torch.tensor(np.transpose(reading), dtype=torch.float32).unsqueeze(0)"
348,2000,40842.4,20.4,0.9,device_input_data = reshaped_data.to(device)
350,2000,3293365.1,1646.7,74.0,"out_t_dev, out_x_dev, out_y_dev = model(device_input_data)"
351,2000,41917.6,21.0,0.9,torch.cuda.synchronize()
353,2000,55826.5,27.9,1.3,out_t = out_t_dev.cpu().squeeze().numpy()
354,2000,29817.5,14.9,0.7,out_x = out_x_dev.cpu().squeeze().numpy()
355,2000,27196.0,13.6,0.6,out_y = out_y_dev.cpu().squeeze().numpy()
358,2000,7595.5,3.8,0.2,"out_t_frame = np.transpose(out_t, (1, 0))"
360,2000,14055.8,7.0,0.3,frame = black.copy()
361,2000,18160.6,9.1,0.4,"frame[0:out_t_frame.shape[0],0:out_t_frame.shape[1],1] = out_t_frame"
364,2000,168832.6,84.4,3.8,nonzero_indices = np.nonzero(frame)
365,2000,1172.0,0.6,0.0,if len(nonzero_indices[0]) > 0:
371,2000,2399.0,1.2,0.1,"frame[0:res_y,res_x,0] = out_y"
372,2000,1755.9,0.9,0.0,"frame[res_y,0:res_x,0] = out_x"
374,2000,11932.2,6.0,0.3,idx_x = np.where(out_x>0.5)
375,2000,4727.5,2.4,0.1,idx_y = np.where(out_y>0.5)
378,2000,277.1,0.1,0.0,try:
379,2000,821.9,0.4,0.0,if len(idx_x[0])>0 and len(idx_y[0]) > 0:
386,2000,1037.1,0.5,0.0,y_norm = x_coord/res_x*100
387,2000,388.7,0.2,0.0,x_norm = y_coord/res_y*100
390,2000,3930.7,2.0,0.1,"data = ""{},{}"".format(x_norm, y_norm).encode()"
391,2000,20944.2,10.5,0.5,"sock.sendto(data, (UDP_IP, DEFAULT_CTRL_PADDLE_DESIRED_PORT))"
393,2000,623.4,0.3,0.0,if args.profiler:
394,2000,524.7,0.3,0.0,pass_counter += 1
395,2000,436.2,0.2,0.0,if pass_counter == 2000:
396,1,0.2,0.2,0.0,break
399,1,27.4,27.4,0.0,sock.close()
